id_produto,titulo,link,preco_atual,preco_original,unidades_por_anuncio,preco_por_unidade,condicao,tipo_anuncio,tipo_logistica,frete_gratis,vendedor_id,vendedor_nome,vendedor_reputacao,vendedor_lider,id_loja_oficial,vendedor_cidade,vendedor_estado,vendedor_total_transacoes,rating_medio,total_reviews,descricao,query_origem,distribuicao_reviews_5_estrelas,distribuicao_reviews_4_estrelas,distribuicao_reviews_3_estrelas,distribuicao_reviews_2_estrelas,distribuicao_reviews_1_estrelas,atributos_marca,atributos_linha,atributos_modelo,atributos_modelo_alfanumerico,atributos_tipo_cartucho,atributos_cor_tinta,atributos_volume_ml,atributos_rendimento_paginas,distribuicao_reviews
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629,65.73,78.8,1,65.73,Novo,gold_special,fulfillment,False,1737442603.0,Eshop,5_green,platinum,56642.0,Extrema,BR-MG,498628.0,4.7,4976,"Imprima documentos do dia a dia com alta qualidade e a um preço acessível com cartuchos de tinta HP de baixo custo, projetados com proteção contra fraudes e alertas inteligentes de pouca tinta para oferecer desempenho sem preocupações e resultados consistentes com os quais você pode contar. Impressão de cores consumíveis: Preto Gota de tinta: 22 pl Tipos de tinta: à base de pigmento - Rendimento de páginas (preto e branco): 120 páginas - Faixa de temperatura operacional de 15 a 32°C - Temperatura de armazenamento: limites -40 a 60°C - Umidade durante o armazenamento De 20 a 80% UR Impressoras compatíveis: HP DeskJet 1110, HP DeskJet 1115, HP DeskJet 2130, HP DeskJet 2135, HP DeskJet 3630, HP ENVY 4520, HP OfficeJet 3830",cartucho hp 664,4325.0,355.0,105.0,39.0,148.0,HP,Advantage,664,F6V29AL,Original,Preto,2.0,,
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763,71.36,,1,71.36,Novo,gold_special,fulfillment,False,167787623.0,MegaByteMagazine,5_green,platinum,,Lençóis Paulista,BR-SP,611243.0,4.8,7509,"Características do Produto: Cartucho HP 667 preto Rendimento: 100 páginas (com cobertura de 5%). Impressoras e Multifuncionais Compatíveis: Deskjet Ink Advantage 2376; Deskjet Ink Advantage 2776; Deskjet Ink Advantage 6476 HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printer - Deskjet Ink Advantage 2774.",cartucho hp 664,6602.0,511.0,178.0,45.0,171.0,HP,Advantage,667,3YM79AB,Original,Preto,2.0,,
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido | Frete grátis,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072,143.9,,2,71.95,Novo,gold_special,fulfillment,True,676710281.0,OBERO INFORMATICA,5_green,platinum,,Nilópolis,BR-RJ,115736.0,4.7,4976,"KIT DE CARTUCHOS DE TINTA HP ORIGINAL 664 PRETO E COLORIDO 1 Cartucho HP 664 preto + 1 Cartucho HP 664 Color ESPECIFICAÇÕES: - Desempenho: Até 120 páginas - Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP Deskjet 2674 HP Deskjet 2675 HP Deskjet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet Ink Advantage 3836 HP Deskjet Ink Advantage 4536 HP Deskjet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 - Cor: Preto - Tipo de Desempenho: Padrão - Conteúdo da Embalagem: Cartucho novo de tinta HP original CARACTERÍSTICAS DO PRODUTO: Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores.",cartucho hp 664,4325.0,355.0,105.0,39.0,148.0,HP,Advantage,664,F6V29AL,Original,Corido,2.0,,
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265,61.96,77.9,1,61.96,Novo,gold_special,fulfillment,False,480263032.0,Mercado Livre,5_green,platinum,2707.0,Cajamar,BR-SP,14001714.0,4.7,4976,"cartucho HP 664 Tricolor (F6V29AB) 2ml Especificações de impressão -Conteúdo: 2ml -Tecnologia de impressão: Jato de tinta - Tinta a base de corante Rendimento -1 Cartucho 664 tricolor rende até 100 páginas. Rendimento considerando 5% de cobertura na folha A4. Para um bom rendimento do cartucho o ideal é não ultrapassarmos os 5% área de cobertura. Quando utilizado o recurso de negritar títulos, trechos ou incluímos imagens essa porcentagem de cobertura facilmente sobe para 10%. Isto faz com que seu cartucho dure menos páginas. Impressoras Compatíveis - HP Deskjet Ink Advantage 1115 - HP Deskjet Ink Advantage 2130 - HP Deskjet Ink Advantage 2135 - HP Deskjet Ink Advantage 2136 - HP Deskjet Ink Advantage 2540 - HP Deskjet Ink Advantage 2600 - HP Deskjet Ink Advantage 2675 - HP Deskjet Ink Advantage 2676 - HP Deskjet Ink Advantage 3635 - HP Deskjet Ink Advantage 3636 - HP Deskjet Ink Advantage 3700 - HP Deskjet Ink Advantage 3836 - HP Deskjet Ink Advantage 3775 - HP Deskjet Ink Advantage 3776 - HP Deskjet Ink Advantage 3786 - HP Deskjet Ink Advantage 3788 - HP Deskjet Ink Advantage 3790 - HP Deskjet Ink Advantage 4535 - HP Deskjet Ink Advantage 4536 - HP Deskjet Ink Advantage 4675 - HP Deskjet Ink Advantage 4676 - HP Deskjet Ink Advantage 5076 - HP Deskjet Ink Advantage 5276",cartucho hp 664,4325.0,355.0,105.0,39.0,148.0,HP,Advantage,664,F6V29AL,Original,Cores,2.0,,
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676 | Parcelamento sem juros,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366,295.67,314.0,2,147.84,Novo,gold_pro,fulfillment,True,1301646661.0,Park Ecom,5_green,platinum,69342.0,Rio de Janeiro,BR-RJ,73437.0,4.6,113,"ANÚNCIO CONTENDO: 01 CARTUCHO HP 664XL PRETO E 01 CARTUCHO HP COLOR 664XL DESEMPENHO: 664XL PRETO - ATÉ 480 PÁGINAS (com base na cobertura de 5% da página) 664XL COLOR - ATÉ 330 PÁGINAS (com base na cobertura de 5% da página) VOLUME DE TINTA EM CADA CARTUCHO PRETO: 8,5ml VOLUME DA TINTA EM CADA CARTUCHO COLOR: 8 ml Compatibilidade: Impressora HP Deskjet Ink Advantage 1115 Impressora HP Deskjet Ink Advantage 2134 Impressora HP Deskjet Ink Advantage 2136 Impressora HP Deskjet Ink Advantage 2676 Impressora HP Deskjet Ink Advantage 3636 Impressora HP Deskjet Ink Advantage 3776 Impressora HP Deskjet Ink Advantage 3786 Impressora HP Deskjet Ink Advantage 3788 Impressora HP Deskjet Ink Advantage 3790 Impressora HP Deskjet Ink Advantage 3836 Impressora HP Deskjet Ink Advantage 4536 Impressora HP Deskjet Ink Advantage 4676 Impressora HP Deskjet Ink Advantage 5076 Impressora HP Deskjet Ink Advantage 5276 Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta HP, que ajudam a garantir que sua impressora HP ofereça resultados consistentes. - Desenvolvido para oferecer desempenho ótimo desde o primeiro uso - Produza impressões duradouras e resistentes à descoloração de fotos e documentos - Otimize a impressão e minimize desperdícios de papel, tinta e energia - Ao optar pelas tintas da HP, você contribui para a economia circular e colabora com o processo de reciclagem da HP. Média aproximada com base na metodologia de teste ISO / IEC 24711 ou HP e impressão contínua. O desempenho real varia consideravelmente de acordo com o conteúdo das páginas impressas e outros fatores.",cartucho hp 664,94.0,6.0,0.0,2.0,8.0,HP,Advantage,664XL,,Original,Preto/Color,16.5,,
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab | Parcelamento sem juros,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566,121.4,189.7,1,121.4,Novo,gold_pro,drop_off,True,1641767749.0,POINTSUPRY,5_green,silver,,Campinas,BR-SP,2096.0,4.8,25,"PRINCIPAIS CARACTERISTICAS Imprima mais documentos com qualidade de laser com menos trocas de cartucho, usando cartuchos de tinta preta de alta capacidade. Imprima documentos com aspecto profissional com texto em preto de qualidade laser. Conte com cartuchos HP para produzir impressões consistentemente impressionantes. Conte com os cartuchos de tinta HP para obter desempenho e confiabilidade superiores. Os cartuchos de tinta HP estão disponíveis em muitos estabelecimentos e são fáceis de instalar. O programa HP Planet Partners facilita a reciclagem de seu cartucho de tinta vazio. DESCRIÇÃO DO PRODUTO PARA UTILIZAÇÃO NAS SEGUINTES IMPRESSORAS HP Deskjet Ink Advantage 1115 HP Deskjet Ink Advantage 2130 HP Deskjet Ink Advantage 2135 HP Deskjet Ink Advantage 2136 HP Deskjet Ink Advantage 2600 SIM Multifuncional HP Deskjet Ink Advantage 2675 HP Deskjet Ink Advantage 2676 HP Deskjet Ink Advantage 3635 HP Deskjet Ink Advantage 3636 HP Deskjet Ink Advantage 3700 HP Deskjet Ink Advantage 3836 HP Deskjet Ink Advantage 3775 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet Ink Advantage 4535 HP Deskjet Ink Advantage 4536 HP Deskjet Ink Advantage 4675 HP Deskjet Ink Advantage 4676 HP Deskjet Ink Advantage 5076 HP Deskjet Ink Advantage 5276 CODIGO DO CARTUCHO F6V31AB | HP 664XL | F6V-31AB QUANTIDADE 8,5ml - Aproximadamente 480 páginas com 5% de cobertura COR Black (Preto) TECNOLOGIA Impressão Jato de Tinta",cartucho hp 664,22.0,2.0,1.0,0.0,2.0,HP,,664XL,F6V31AL,Original,Preto,,,
MLB36768292,Cartucho De Tinta Hp 664 Preto | Frete grátis,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292,177.99,,2,89.0,Novo,gold_special,cross_docking,True,69438105.0,Tec Print ,5_green,platinum,1856.0,Ribeirão Preto,BR-SP,212586.0,4.7,4976,"Kit de cartuchos de tinta hp original 664 preto e colorido 1 cartucho hp 664 preto especificações: - desempenho: até 120 páginas - compatibilidade: hp deskjet 1110 hp deskjet 1115 hp deskjet 2130 hp deskjet 2134 hp deskjet 2135 hp deskjet 2136 hp deskjet 2674 hp deskjet 2675 hp deskjet 2676 hp deskjet 3630 hp deskjet 3636 hp officejet 3830 hp deskjet ink advantage 3776 hp deskjet ink advantage 3786 hp deskjet ink advantage 3788 hp deskjet ink advantage 3790 hp deskjet ink advantage 3836 hp deskjet ink advantage 4536 hp deskjet ink advantage 4676 hp deskjet ink advantage 5076 hp deskjet ink advantage 5276 - cor: preto - tipo de desempenho: padrão - conteúdo da embalagem: cartucho novo de tinta hp original características do produto: obtenha a qualidade da hp que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais hp. Imprima bordas perfeitas em textos e em gráficos, usando cartuchos originais hp. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em iso / iec 24711 ou na metodologia de teste hp e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores.",cartucho hp 664,4325.0,355.0,105.0,39.0,148.0,HP,Advantage,664,F6V29AL,Original,Preto/Tricolor,4.0,,
MLB39092873,Kit 2 Cartuchos Hp 664 Hp 2136 3636 3836 4536 4676 | Frete grátis,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-hp-2136-3636-3836-4536-4676/p/MLB39092873,164.99,,1,164.99,Novo,gold_special,fulfillment,True,567521007.0,CASAPRINT SPEED,5_green,platinum,,São Paulo,BR-SP,17122.0,4.8,109,"Melhore a qualidade das suas impressões com o Kit de Cartuchos HP 664 Preto e Colorido. Este kit oferece uma solução completa para atender às suas necessidades de impressão, proporcionando impressões nítidas e vibrantes tanto para documentos em preto e branco quanto para imagens coloridas. O Kit Inclui: 1 Cartucho HP 664 Preto 1 Cartucho HP 664 Colorido Cartucho HP 664 Preto O Cartucho HP 664 Preto garante impressões nítidas e de alta definição para todos os seus documentos. Ideal para textos e gráficos em preto e branco, este cartucho é a escolha perfeita para garantir que suas impressões sejam sempre claras e profissionais. Características do Produto: Modelo: F6V28AB Marca: HP Cor da Tinta: Preto Tipo da Tinta: Pigmentada Conteúdo da Embalagem: 1 Cartucho de tinta HP Tecnologia de Impressão: Jato de Tinta Tipo de Desempenho: Padrão Capacidade do Cartucho: 2 ml Rendimento por Cartucho: Até 120 páginas, baseado em uma cobertura de 5% por página A4. O rendimento pode variar com base no conteúdo das páginas e outros fatores. Coberturas maiores, como negritos e gráficos extensos, podem reduzir o número total de páginas impressas. Compatibilidade com Impressoras: O cartucho HP 664 Preto é compatível com diversos modelos de impressoras HP Deskjet Ink Advantage, incluindo: *Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP DeskJet 2674 HP DeskJet 2675 HP DeskJet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP DeskJet Ink Advantage 3776 HP DeskJet Ink Advantage 3786 HP DeskJet Ink Advantage 3788 HP DeskJet Ink Advantage 3790 HP DeskJet Ink Advantage 3836 HP DeskJet Ink Advantage 4536 HP DeskJet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 Cor: preto Características Adicionais: Qualidade de Impressão Nítida: Produz textos claros e bem definidos, ideal para documentos importantes e relatórios. Desempenho Consistente: Com um rendimento de até 120 páginas, é adequado para impressões regulares. Impressões Duráveis: Resistente ao desbotamento, garantindo que seus documentos permaneçam legíveis e profissionais. Benefícios do Cartucho HP 664 Preto: Desempenho Eficiente: Solução econômica para impressões em preto e branco, com qualidade garantida. Tecnologia de Pigmento: Garante excelente definição e contraste para textos e gráficos. Sustentabilidade: Fabricado com práticas sustentáveis, promovendo o uso responsável dos recursos. Cartucho HP 664 Colorido O Cartucho HP 664 Colorido é ideal para quem precisa de impressões com cores vibrantes e precisas. Perfeito para documentos e fotos coloridas, este cartucho garante que suas impressões sejam vivas e detalhadas. Características do Produto: Modelo: F6V29AB Marca: HP Cor da Tinta: Tricolor (Cyan, Magenta, Yellow) Tipo da Tinta: Corante Conteúdo da Embalagem: 1 Cartucho de tinta HP Tecnologia de Impressão: Jato de Tinta Tipo de Desempenho: Padrão Capacidade do Cartucho: 2 ml Rendimento por Cartucho: Até 100 páginas, baseado em uma cobertura de 5% por página A4. O rendimento pode variar com base no conteúdo das páginas e outros fatores. Coberturas maiores, como imagens e gráficos extensos, podem reduzir o número total de páginas impressas. Compatibilidade com Impressoras: O cartucho HP 664 Colorido é compatível com os seguintes modelos de impressoras HP Deskjet Ink Advantage: HP Deskjet Ink Advantage: Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP DeskJet 2674 HP DeskJet 2675 HP DeskJet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP DeskJet Ink Advantage 3776 HP DeskJet Ink Advantage 3786 HP DeskJet Ink Advantage 3788 HP DeskJet Ink Advantage 3790 HP DeskJet Ink Advantage 3836 HP DeskJet Ink Advantage 4536 HP DeskJet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 Cor: preto Características Adicionais: Cores Vibrantes: Oferece uma gama de cores vivas e precisas, ideal para fotos e documentos coloridos. Impressões de Alta Qualidade: Garante cores brilhantes e detalhadas, mantendo a precisão das imagens. Fácil Instalação: Simples de instalar e substituir, garantindo uma experiência de impressão sem complicações. Benefícios do Cartucho HP 664 Colorido: Impressões Coloridas de Qualidade: Ideal para documentos e fotos com cores vivas e detalhadas. Tecnologia de Corante: Garante cores precisas e brilhantes para uma variedade de aplicações de impressão. Aproveite o Kit de Cartuchos HP 664 Preto e Colorido para obter impressões excepcionais com a combinação ideal de qualidade e desempenho. Ideal para todas as suas necessidades de impressão, oferecendo resultados profissionais em cada página.",cartucho hp 664,96.0,8.0,2.0,2.0,1.0,HP,Ink Advantage,664,664,Original,"COLORIDO, PRETO",,120.0,
MLB36877280,Cartucho Jato De Tinta Ink Advantage 664xl Black | Frete grátis,https://www.mercadolivre.com.br/cartucho-jato-de-tinta-ink-advantage-664xl-black/p/MLB36877280,187.2,,1,187.2,Novo,gold_special,fulfillment,True,676710281.0,OBERO INFORMATICA,5_green,platinum,,Nilópolis,BR-RJ,115736.0,4.5,398,"Descrição CARTUCHOS DE TINTA HP 664 XL PRETO 1 Cartucho HP 664 XL preto 8,5 ml ESPECIFICAÇÕES: - Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP Deskjet 2674 HP Deskjet 2675 HP Deskjet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet Ink Advantage 3836 HP Deskjet Ink Advantage 4536 HP Deskjet Ink Advantage 4676 HP DeskJet Ink Advantage 5076 HP DeskJet Ink Advantage 5276 - Cor: Preto - Tipo de Desempenho: Padrão - Conteúdo da Embalagem: Cartucho de tinta HP CARACTERÍSTICAS DO PRODUTO: Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. DIFERENCIADORES: - Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. - Impressões resistentes à água e que não desbotam com o tempo. - Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. - Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. - Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. - Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado. Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores.",cartucho hp 664,328.0,23.0,9.0,4.0,31.0,HP,Ink Advantage,664XL,,Original,Black,8.0,,
MLB44336841,Kit Cartucho De Tinta Hp 662 Preto E 622 Colorido | Frete grátis,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-preto-e-622-colorido/p/MLB44336841,182.0,,2,91.0,Novo,gold_special,fulfillment,True,279402731.0,siad,5_green,silver,,Taubaté,BR-SP,2324.0,4.6,53,"Os cartuchos de tinta HP permitem excelente qualidade de impressão, com imagens nítidas da primeira a última página. Ideal para quem necessita fazer impressões diariamente, sejam trabalhos profissionais, acadêmicos ou qualquer outro documento que precise imprimir. O cartucho de tinta 662 Preto - CZ103AB é compatível com as impressoras HP Deskjet Ink Advantage 2515 e HP Deskjet Ink Advantage 3515. Os cartuchos de tinta HP garantem alta qualidade de impressão, cores vibrantes e durabilidade. O cartucho de tinta 662 Tricolor - CZ104AB é compatível com as impressoras HP Deskjet Ink Advantage 2515 e HP Deskjet Ink Advantage 3515.",cartucho hp 664,42.0,5.0,1.0,1.0,2.0,HP,Advantage,662 Negro + 662 Tricolor,,Original,Preto e Colorido,2.0,,
