PN;Familia;Produto;Media de Paginas Impressas;Preco Sugerido
3YM78AB;HP 667;Cartucho HP 667 Colorido;100;74.90
3YM79AB;HP 667;Cartucho HP 667 Preto;120;69.90
3YM80AB;HP 667;Cartucho HP 667XL Colorido;330;172.90
3YM81AB;HP 667;Cartucho HP 667XL Preto;480;172.90
F6V28AB;HP 664;HP 664 Colorido;100;74.90
F6V29AB;HP 664;HP 664 Preto;120;69.90
F6V30AB;HP 664;HP 664XL Colorido;330;172.90
F6V31AB;HP 664;HP 664XL Preto;480;172.90
CZ103AB;HP 662;HP 662 Preto;120;69.90
CZ104AB;HP 662;HP 662 Colorido;100;74.90
CZ105AB;HP 662;HP 662XL Preto;360;
CZ106AB;HP 662;HP 662XL Colorido;330;172.90
1VV22AL;HP GT 53 / 52;Garrafa de tinta HP GT53 Preto;4000;72.90
9F3N4AL;HP GT 53 / 52;HP Combo 4 Garrafas de Tinta HP GT Preto, Ciano, Magenta e Amarelo;4000 /8000 / 8000 / 8000;264.90
MOH54AL;HP GT 53 / 52;HP Garrafa de Tinta GT52 Ciano;8000;72.90
MOH55AL;HP GT 53 / 52;HP Garrafa de Tinta GT52 Magenta;8000;72.90
MOH56AL;HP GT 53 / 52;HP Garrafa de Tinta GT52 Amarelo;8000;72.90
L0S50AB;HP 954;HP 954 Ciano;700;153.90
L0S53AB;HP 954;HP 954 Magenta;700;153.90
L0S56AB;HP 954;HP 954 Amarelo;700;153.90
L0S59AB;HP 954;HP 954 Preto;1000;214.90
L0S62AB;HP 954;HP 954 XL Ciano;1600;256.90
L0S65AB;HP 954;HP 954 XL Magenta;1600;256.90
L0S68AB;HP 954;HP 954 XL Amarelo;1600;256.90
L0S71AB;HP 954;HP 954 XL Preto;2000;339.90
3JA50AL;HP 964;964 Ciano;700;165.90
3JA51AL;HP 964;964 Magenta;700;165.90
3JA52AL;HP 964;964 Amarelo;700;165.90
3JA53AL;HP 964;964 Preto;1000;219.90
3JA54AL;HP 964;964XL Ciano;1600;289.90
3JA55AL;HP 964;964XL Magenta;1600;289.90
3JA56AL;HP 964;964XL Amarelo;1600;289.90
3JA57AL;HP 964;964XL Preto;2000;370.90
4S6X5PL;HP 938;HP 938 Ciano;800;169.90
4S6X6PL;HP 938;HP 938 Magenta;800;169.90
4S6X7PL;HP 938;HP 938 Amarelo;800;169.90
